Date,Control,Debit,Credit,Net
1/1/2025,R-1567607,25.00,0.00,25.00
1/1/2025,R-1567607,30.81,0.00,30.81
1/1/2025,R-1567608,5.00,0.00,5.00
1/1/2025,R-1567608,3.63,0.00,3.63
1/1/2025,R-1567608,1.74,0.00,1.74
1/1/2025,R-1567608,1.77,0.00,1.77
1/1/2025,R-1567608,1.92,0.00,1.92
1/1/2025,R-1567608,"2,530.00",0.00,"2,530.00"
1/1/2025,R-1567608,20.00,0.00,20.00
1/1/2025,R-1567608,10.73,0.00,10.73
1/1/2025,R-1567608,75.00,0.00,75.00
1/1/2025,R-1567608,32.24,0.00,32.24
1/1/2025,R-1567609,30.46,0.00,30.46
1/1/2025,R-1567609,20.00,0.00,20.00
1/1/2025,R-1567609,5.00,0.00,5.00
1/1/2025,R-1567609,16.00,0.00,16.00
1/1/2025,R-1567609,75.00,0.00,75.00
1/1/2025,R-1567609,"2,645.00",0.00,"2,645.00"
1/1/2025,R-1567609,17.70,0.00,17.70
1/1/2025,R-1567609,10.73,0.00,10.73
1/1/2025,R-1567609,3.63,0.00,3.63
1/1/2025,R-1567609,1.74,0.00,1.74
1/1/2025,R-1567934,"2,288.00",0.00,"2,288.00"
